game_id,person_id,team_id,starter,seconds,points,fg2_made,fg2_attempted,fg3_made,fg3_attempted,ft_attempted,ft_made,offensive_reb,defensive_reb,assists,steals,blocks,turnovers,defensive_fouls,offensive_fouls
22401195,201144,1610612750,true,894,0,0,1,0,2,0,0,0,2,2,0,0,0,1,0
22401195,1628978,1610612750,false,1698.0000000000002,16,2,2,4,8,0,0,1,2,2,0,0,1,3,0
22401195,1630531,1610612762,true,364,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0
22401195,203944,1610612750,true,1974.0000000000002,10,5,8,0,3,0,0,3,7,5,0,1,4,1,1
22401195,1630183,1610612750,true,1503,8,4,6,0,1,2,0,2,0,0,3,2,4,4,0
22401195,1642271,1610612762,true,1707,15,4,9,2,4,1,1,1,2,3,0,2,0,6,0
22401195,1641729,1610612762,true,2200,22,1,5,6,12,2,2,2,5,3,2,1,3,1,1
22401195,1630548,1610612762,true,1651.0000000000002,15,3,5,3,6,0,0,0,2,1,1,0,1,3,0
22401195,1641718,1610612762,true,2876,14,6,15,0,8,3,2,0,5,7,0,0,4,0,0
22401195,1630695,1610612762,false,1744.0000000000002,7,2,2,1,5,0,0,2,3,4,0,0,0,2,0
22401195,1629004,1610612762,false,2363,14,1,3,4,6,0,0,0,4,4,0,1,1,0,0
22401195,203497,1610612750,true,2304,19,8,16,0,0,5,3,8,10,0,1,4,0,2,0
22401195,1630162,1610612750,true,2411,43,8,13,7,18,7,6,0,6,5,3,1,2,1,0
22401195,1641740,1610612750,false,162,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22401195,1629638,1610612750,false,1960.0000000000002,9,1,1,2,8,1,1,0,5,7,2,1,1,1,0
22401195,1631131,1610612762,false,1475,18,7,8,0,0,5,4,4,8,2,3,1,3,2,0
22401195,1629675,1610612750,false,1474.0000000000002,11,5,7,0,3,1,1,3,5,2,0,0,1,2,0
22401194,1629723,1610612763,false,1285.0000000000002,2,1,1,0,1,0,0,2,5,3,6,0,1,0,0
22401194,1630702,1610612742,false,2025,17,4,8,2,9,4,3,0,4,3,1,0,3,3,0
22401194,203915,1610612742,false,2151,8,0,4,1,6,5,5,0,2,7,1,0,3,2,0
